city,day,facade,street_width_m,opposite_height_m,floor,direct_sun_h
Rome,spring,south,8,18,0,0
Rome,spring,south,8,18,1,0
Rome,spring,south,8,18,2,0
Rome,spring,south,8,18,3,11.8
Rome,spring,south,8,18,4,11.8
Rome,spring,south,8,18,5,11.8
Rome,spring,south,12,18,0,0
Rome,spring,south,12,18,1,0.1
Rome,spring,south,12,18,2,11.8
Rome,spring,south,12,18,3,11.8
Rome,spring,south,12,18,4,11.8
Rome,spring,south,12,18,5,11.8
Rome,spring,south,20,18,0,11.8
Rome,spring,south,20,18,1,11.8
Rome,spring,south,20,18,2,11.8
Rome,spring,south,20,18,3,11.8
Rome,spring,south,20,18,4,11.8
Rome,spring,south,20,18,5,11.8
Rome,spring,south,30,18,0,11.8
Rome,spring,south,30,18,1,11.8
Rome,spring,south,30,18,2,11.8
Rome,spring,south,30,18,3,11.8
Rome,spring,south,30,18,4,11.8
Rome,spring,south,30,18,5,11.8
Rome,spring,east_or_west,8,18,0,1.2
Rome,spring,east_or_west,8,18,1,1.4
Rome,spring,east_or_west,8,18,2,1.8
Rome,spring,east_or_west,8,18,3,2.4
Rome,spring,east_or_west,8,18,4,3.3
Rome,spring,east_or_west,8,18,5,4.9
Rome,spring,east_or_west,12,18,0,1.7
Rome,spring,east_or_west,12,18,1,2.1
Rome,spring,east_or_west,12,18,2,2.6
Rome,spring,east_or_west,12,18,3,3.2
Rome,spring,east_or_west,12,18,4,4.1
Rome,spring,east_or_west,12,18,5,5.2
Rome,spring,east_or_west,20,18,0,2.7
Rome,spring,east_or_west,20,18,1,3.1
Rome,spring,east_or_west,20,18,2,3.5
Rome,spring,east_or_west,20,18,3,4.1
Rome,spring,east_or_west,20,18,4,4.8
Rome,spring,east_or_west,20,18,5,5.5
Rome,spring,east_or_west,30,18,0,3.4
Rome,spring,east_or_west,30,18,1,3.8
Rome,spring,east_or_west,30,18,2,4.2
Rome,spring,east_or_west,30,18,3,4.7
Rome,spring,east_or_west,30,18,4,5.2
Rome,spring,east_or_west,30,18,5,5.7
Rome,summer,south,8,18,0,7.9
Rome,summer,south,8,18,1,7.9
Rome,summer,south,8,18,2,7.9
Rome,summer,south,8,18,3,7.9
Rome,summer,south,8,18,4,7.9
Rome,summer,south,8,18,5,7.9
Rome,summer,south,12,18,0,7.9
Rome,summer,south,12,18,1,7.9
Rome,summer,south,12,18,2,7.9
Rome,summer,south,12,18,3,7.9
Rome,summer,south,12,18,4,7.9
Rome,summer,south,12,18,5,7.9
Rome,summer,south,20,18,0,7.9
Rome,summer,south,20,18,1,7.9
Rome,summer,south,20,18,2,7.9
Rome,summer,south,20,18,3,7.9
Rome,summer,south,20,18,4,7.9
Rome,summer,south,20,18,5,7.9
Rome,summer,south,30,18,0,7.9
Rome,summer,south,30,18,1,7.9
Rome,summer,south,30,18,2,7.9
Rome,summer,south,30,18,3,7.9
Rome,summer,south,30,18,4,7.9
Rome,summer,south,30,18,5,7.9
Rome,summer,east_or_west,8,18,0,1.7
Rome,summer,east_or_west,8,18,1,2.2
Rome,summer,east_or_west,8,18,2,2.7
Rome,summer,east_or_west,8,18,3,3.4
Rome,summer,east_or_west,8,18,4,4.7
Rome,summer,east_or_west,8,18,5,6.5
Rome,summer,east_or_west,12,18,0,2.6
Rome,summer,east_or_west,12,18,1,3
Rome,summer,east_or_west,12,18,2,3.6
Rome,summer,east_or_west,12,18,3,4.4
Rome,summer,east_or_west,12,18,4,5.6
Rome,summer,east_or_west,12,18,5,6.9
Rome,summer,east_or_west,20,18,0,3.8
Rome,summer,east_or_west,20,18,1,4.3
Rome,summer,east_or_west,20,18,2,4.8
Rome,summer,east_or_west,20,18,3,5.6
Rome,summer,east_or_west,20,18,4,6.3
Rome,summer,east_or_west,20,18,5,7.2
Rome,summer,east_or_west,30,18,0,4.8
Rome,summer,east_or_west,30,18,1,5.2
Rome,summer,east_or_west,30,18,2,5.7
Rome,summer,east_or_west,30,18,3,6.2
Rome,summer,east_or_west,30,18,4,6.7
Rome,summer,east_or_west,30,18,5,7.3
Rome,autumn,south,8,18,0,0
Rome,autumn,south,8,18,1,0
Rome,autumn,south,8,18,2,0.3
Rome,autumn,south,8,18,3,11.7
Rome,autumn,south,8,18,4,11.7
Rome,autumn,south,8,18,5,11.7
Rome,autumn,south,12,18,0,0.3
Rome,autumn,south,12,18,1,3.5
Rome,autumn,south,12,18,2,11.7
Rome,autumn,south,12,18,3,11.7
Rome,autumn,south,12,18,4,11.7
Rome,autumn,south,12,18,5,11.7
Rome,autumn,south,20,18,0,11.7
Rome,autumn,south,20,18,1,11.7
Rome,autumn,south,20,18,2,11.7
Rome,autumn,south,20,18,3,11.7
Rome,autumn,south,20,18,4,11.7
Rome,autumn,south,20,18,5,11.7
Rome,autumn,south,30,18,0,11.7
Rome,autumn,south,30,18,1,11.7
Rome,autumn,south,30,18,2,11.7
Rome,autumn,south,30,18,3,11.7
Rome,autumn,south,30,18,4,11.7
Rome,autumn,south,30,18,5,11.7
Rome,autumn,east_or_west,8,18,0,1.2
Rome,autumn,east_or_west,8,18,1,1.5
Rome,autumn,east_or_west,8,18,2,1.9
Rome,autumn,east_or_west,8,18,3,2.5
Rome,autumn,east_or_west,8,18,4,3.5
Rome,autumn,east_or_west,8,18,5,5.1
Rome,autumn,east_or_west,12,18,0,1.8
Rome,autumn,east_or_west,12,18,1,2.2
Rome,autumn,east_or_west,12,18,2,2.7
Rome,autumn,east_or_west,12,18,3,3.3
Rome,autumn,east_or_west,12,18,4,4.2
Rome,autumn,east_or_west,12,18,5,5.4
Rome,autumn,east_or_west,20,18,0,2.8
Rome,autumn,east_or_west,20,18,1,3.2
Rome,autumn,east_or_west,20,18,2,3.7
Rome,autumn,east_or_west,20,18,3,4.3
Rome,autumn,east_or_west,20,18,4,4.9
Rome,autumn,east_or_west,20,18,5,5.7
Rome,autumn,east_or_west,30,18,0,3.6
Rome,autumn,east_or_west,30,18,1,3.9
Rome,autumn,east_or_west,30,18,2,4.3
Rome,autumn,east_or_west,30,18,3,4.8
Rome,autumn,east_or_west,30,18,4,5.2
Rome,autumn,east_or_west,30,18,5,5.7
Rome,winter,south,8,18,0,0
Rome,winter,south,8,18,1,0
Rome,winter,south,8,18,2,0
Rome,winter,south,8,18,3,0
Rome,winter,south,8,18,4,0
Rome,winter,south,8,18,5,7.3
Rome,winter,south,12,18,0,0
Rome,winter,south,12,18,1,0
Rome,winter,south,12,18,2,0
Rome,winter,south,12,18,3,0
Rome,winter,south,12,18,4,4.3
Rome,winter,south,12,18,5,8
Rome,winter,south,20,18,0,0
Rome,winter,south,20,18,1,0
Rome,winter,south,20,18,2,0
Rome,winter,south,20,18,3,4.4
Rome,winter,south,20,18,4,7
Rome,winter,south,20,18,5,8.5
Rome,winter,south,30,18,0,0
Rome,winter,south,30,18,1,1.2
Rome,winter,south,30,18,2,5
Rome,winter,south,30,18,3,6.7
Rome,winter,south,30,18,4,7.8
Rome,winter,south,30,18,5,8.7
Rome,winter,east_or_west,8,18,0,0.7
Rome,winter,east_or_west,8,18,1,0.8
Rome,winter,east_or_west,8,18,2,1.1
Rome,winter,east_or_west,8,18,3,1.5
Rome,winter,east_or_west,8,18,4,2.2
Rome,winter,east_or_west,8,18,5,3.5
Rome,winter,east_or_west,12,18,0,1.1
Rome,winter,east_or_west,12,18,1,1.2
Rome,winter,east_or_west,12,18,2,1.6
Rome,winter,east_or_west,12,18,3,2.1
Rome,winter,east_or_west,12,18,4,2.8
Rome,winter,east_or_west,12,18,5,3.8
Rome,winter,east_or_west,20,18,0,1.7
Rome,winter,east_or_west,20,18,1,2
Rome,winter,east_or_west,20,18,2,2.3
Rome,winter,east_or_west,20,18,3,2.8
Rome,winter,east_or_west,20,18,4,3.3
Rome,winter,east_or_west,20,18,5,4
Rome,winter,east_or_west,30,18,0,2.2
Rome,winter,east_or_west,30,18,1,2.5
Rome,winter,east_or_west,30,18,2,2.8
Rome,winter,east_or_west,30,18,3,3.3
Rome,winter,east_or_west,30,18,4,3.7
Rome,winter,east_or_west,30,18,5,4.2
Milan,spring,south,8,18,0,0
Milan,spring,south,8,18,1,0
Milan,spring,south,8,18,2,0
Milan,spring,south,8,18,3,9.8
Milan,spring,south,8,18,4,11.8
Milan,spring,south,8,18,5,11.8
Milan,spring,south,12,18,0,0
Milan,spring,south,12,18,1,0
Milan,spring,south,12,18,2,11.8
Milan,spring,south,12,18,3,11.8
Milan,spring,south,12,18,4,11.8
Milan,spring,south,12,18,5,11.8
Milan,spring,south,20,18,0,11.8
Milan,spring,south,20,18,1,11.8
Milan,spring,south,20,18,2,11.8
Milan,spring,south,20,18,3,11.8
Milan,spring,south,20,18,4,11.8
Milan,spring,south,20,18,5,11.8
Milan,spring,south,30,18,0,11.8
Milan,spring,south,30,18,1,11.8
Milan,spring,south,30,18,2,11.8
Milan,spring,south,30,18,3,11.8
Milan,spring,south,30,18,4,11.8
Milan,spring,south,30,18,5,11.8
Milan,spring,east_or_west,8,18,0,1.2
Milan,spring,east_or_west,8,18,1,1.4
Milan,spring,east_or_west,8,18,2,1.7
Milan,spring,east_or_west,8,18,3,2.3
Milan,spring,east_or_west,8,18,4,3.3
Milan,spring,east_or_west,8,18,5,4.9
Milan,spring,east_or_west,12,18,0,1.7
Milan,spring,east_or_west,12,18,1,2
Milan,spring,east_or_west,12,18,2,2.5
Milan,spring,east_or_west,12,18,3,3.1
Milan,spring,east_or_west,12,18,4,4
Milan,spring,east_or_west,12,18,5,5.2
Milan,spring,east_or_west,20,18,0,2.6
Milan,spring,east_or_west,20,18,1,3
Milan,spring,east_or_west,20,18,2,3.4
Milan,spring,east_or_west,20,18,3,4
Milan,spring,east_or_west,20,18,4,4.8
Milan,spring,east_or_west,20,18,5,5.5
Milan,spring,east_or_west,30,18,0,3.3
Milan,spring,east_or_west,30,18,1,3.8
Milan,spring,east_or_west,30,18,2,4.2
Milan,spring,east_or_west,30,18,3,4.6
Milan,spring,east_or_west,30,18,4,5.1
Milan,spring,east_or_west,30,18,5,5.7
Milan,summer,south,8,18,0,8.4
Milan,summer,south,8,18,1,8.4
Milan,summer,south,8,18,2,8.4
Milan,summer,south,8,18,3,8.4
Milan,summer,south,8,18,4,8.4
Milan,summer,south,8,18,5,8.4
Milan,summer,south,12,18,0,8.4
Milan,summer,south,12,18,1,8.4
Milan,summer,south,12,18,2,8.4
Milan,summer,south,12,18,3,8.4
Milan,summer,south,12,18,4,8.4
Milan,summer,south,12,18,5,8.4
Milan,summer,south,20,18,0,8.4
Milan,summer,south,20,18,1,8.4
Milan,summer,south,20,18,2,8.4
Milan,summer,south,20,18,3,8.4
Milan,summer,south,20,18,4,8.4
Milan,summer,south,20,18,5,8.4
Milan,summer,south,30,18,0,8.4
Milan,summer,south,30,18,1,8.4
Milan,summer,south,30,18,2,8.4
