city,country,lat,lon,day,date,daylight_h,sunrise,sunset,solar_noon,noon_altitude_deg,sunrise_azimuth_deg,sunset_azimuth_deg,facing_N_h,facing_NE_h,facing_E_h,facing_SE_h,facing_S_h,facing_SW_h,facing_W_h,facing_NW_h
Rome,Italy,41.9028,12.4964,spring,2026-03-20,12.03,06:18,18:19,12:18,47.9,90,270,0,3.7,5.9,8.2,11.8,8.2,6,3.7
Rome,Italy,41.9028,12.4964,summer,2026-06-21,15.15,05:38,20:46,13:12,71.5,57,303,6.8,6.3,7.5,8.8,7.9,8.8,7.5,6.3
Rome,Italy,41.9028,12.4964,autumn,2026-09-22,12.12,07:00,19:06,13:03,48.5,89,271,0,3.8,6,8.2,11.7,8.2,6,3.7
Rome,Italy,41.9028,12.4964,winter,2026-12-21,9.03,07:38,16:39,12:08,24.7,122,238,0,1.1,4.4,7.7,9,7.7,4.4,1.1
Milan,Italy,45.4642,9.19,spring,2026-03-20,12.03,06:31,18:32,12:31,44.3,90,270,0,3.6,5.9,8.3,11.8,8.3,6,3.6
Milan,Italy,45.4642,9.19,summer,2026-06-21,15.58,05:38,21:12,13:25,68,55,305,6.7,6.3,7.8,9.2,8.4,9.2,7.7,6.3
Milan,Italy,45.4642,9.19,autumn,2026-09-22,12.12,07:13,19:19,13:16,44.9,89,271,0,3.6,6,8.3,11.7,8.3,6,3.6
Milan,Italy,45.4642,9.19,winter,2026-12-21,8.6,08:04,16:39,12:21,21.1,124,236,0,0.9,4.2,7.5,8.6,7.5,4.2,0.9
Florence,Italy,43.7696,11.2558,spring,2026-03-20,12.03,06:23,18:24,12:23,46,90,270,0,3.6,5.9,8.2,11.8,8.3,6,3.6
Florence,Italy,43.7696,11.2558,summer,2026-06-21,15.35,05:37,20:57,13:17,69.7,56,304,6.7,6.3,7.6,9,8.2,9,7.6,6.3
Florence,Italy,43.7696,11.2558,autumn,2026-09-22,12.12,07:05,19:11,13:08,46.6,89,271,0,3.7,6,8.3,11.7,8.3,6,3.7
Florence,Italy,43.7696,11.2558,winter,2026-12-21,8.82,07:49,16:37,12:13,22.8,123,237,0,1,4.3,7.6,8.8,7.6,4.3,1
Naples,Italy,40.8518,14.2681,spring,2026-03-20,12.03,06:11,18:12,12:11,48.9,90,270,0,3.7,5.9,8.1,11.8,8.2,6,3.7
Naples,Italy,40.8518,14.2681,summer,2026-06-21,15.02,05:35,20:35,13:05,72.6,58,302,6.8,6.3,7.5,8.6,7.7,8.6,7.5,6.3
Naples,Italy,40.8518,14.2681,autumn,2026-09-22,12.12,06:53,18:59,12:56,49.6,89,271,0,3.8,6,8.2,11.7,8.2,6,3.8
Naples,Italy,40.8518,14.2681,winter,2026-12-21,9.15,07:27,16:35,12:01,25.7,121,239,0,1.2,4.5,7.7,9.2,7.7,4.5,1.2
Madrid,Spain,40.4168,-3.7038,spring,2026-03-20,12.05,07:22,19:24,13:23,49.4,90,270,0,3.7,6,8.1,11.8,8.2,6,3.7
Madrid,Spain,40.4168,-3.7038,summer,2026-06-21,14.97,06:48,21:45,14:17,73,58,302,6.8,6.3,7.5,8.6,7.7,8.6,7.4,6.3
Madrid,Spain,40.4168,-3.7038,autumn,2026-09-22,12.1,08:05,20:10,14:08,50,89,271,0,3.8,6,8.2,11.7,8.1,6,3.8
Madrid,Spain,40.4168,-3.7038,winter,2026-12-21,9.18,08:38,17:48,13:13,26.2,121,239,0,1.2,4.5,7.8,9.2,7.8,4.5,1.2
Barcelona,Spain,41.3874,2.1686,spring,2026-03-20,12.03,06:59,19:00,12:59,48.4,90,270,0,3.7,6,8.2,11.8,8.2,6,3.7
Barcelona,Spain,41.3874,2.1686,summer,2026-06-21,15.08,06:21,21:25,13:53,72.1,58,302,6.8,6.3,7.5,8.7,7.8,8.7,7.5,6.3
Barcelona,Spain,41.3874,2.1686,autumn,2026-09-22,12.12,07:41,19:47,13:44,49,89,271,0,3.8,6,8.2,11.7,8.2,6,3.8
Barcelona,Spain,41.3874,2.1686,winter,2026-12-21,9.1,08:17,17:22,12:50,25.2,122,238,0,1.2,4.5,7.7,9.1,7.7,4.5,1.2
Lisbon,Portugal,38.7223,-9.1393,spring,2026-03-20,12.05,06:44,18:46,12:45,51.1,90,270,0,3.8,6,8.1,11.8,8.1,6,3.8
Lisbon,Portugal,38.7223,-9.1393,summer,2026-06-21,14.8,06:15,21:02,13:39,74.7,59,301,6.9,6.3,7.4,8.4,7.4,8.4,7.4,6.3
Lisbon,Portugal,38.7223,-9.1393,autumn,2026-09-22,12.1,07:27,19:32,13:30,51.7,89,271,0,3.9,6,8.1,11.7,8.1,6,3.8
Lisbon,Portugal,38.7223,-9.1393,winter,2026-12-21,9.37,07:54,17:15,12:35,27.9,120,240,0,1.3,4.6,7.8,9.4,7.8,4.6,1.3
Athens,Greece,37.9838,23.7275,spring,2026-03-20,12.03,06:33,18:34,12:33,51.8,90,270,0,3.8,6,8,11.8,8.1,6,3.8
Athens,Greece,37.9838,23.7275,summer,2026-06-21,14.72,06:06,20:48,13:27,75.5,59,301,7,6.3,7.3,8.3,7.2,8.3,7.3,6.3
Athens,Greece,37.9838,23.7275,autumn,2026-09-22,12.12,07:15,19:21,13:18,52.4,89,271,0,3.9,6,8.1,11.7,8.1,6,3.9
Athens,Greece,37.9838,23.7275,winter,2026-12-21,9.43,07:41,17:06,12:23,28.6,120,240,0,1.4,4.6,7.8,9.4,7.8,4.6,1.4
Paris,France,48.8566,2.3522,spring,2026-03-20,12.05,06:58,19:00,12:59,40.9,90,270,0,3.5,6,8.4,11.8,8.4,6,3.5
Paris,France,48.8566,2.3522,summer,2026-06-21,16.07,05:51,21:54,13:53,64.6,52,308,6.8,6.4,8,9.6,8.8,9.6,8,6.4
Paris,France,48.8566,2.3522,autumn,2026-09-22,12.13,07:40,19:47,13:43,41.5,89,271,0,3.5,6,8.4,11.8,8.4,6,3.5
Paris,France,48.8566,2.3522,winter,2026-12-21,8.13,08:45,16:52,12:49,17.8,127,233,0,0.6,4,7.3,8.1,7.3,4,0.6
London,United Kingdom,51.5072,-0.1276,spring,2026-03-20,12.05,06:08,18:10,12:09,38.3,90,270,0,3.4,5.9,8.5,11.8,8.5,6,3.4
London,United Kingdom,51.5072,-0.1276,summer,2026-06-21,16.5,04:48,21:17,13:03,61.9,50,310,7,6.5,8.2,9.9,9.1,9.9,8.2,6.5
London,United Kingdom,51.5072,-0.1276,autumn,2026-09-22,12.15,06:49,18:57,12:53,38.9,89,271,0,3.5,6,8.5,11.8,8.5,6,3.5
London,United Kingdom,51.5072,-0.1276,winter,2026-12-21,7.7,08:08,15:49,11:59,15.1,129,231,0,0.4,3.8,7.1,7.7,7.1,3.8,0.4
Amsterdam,Netherlands,52.3676,4.9041,spring,2026-03-20,12.05,06:48,18:50,12:49,37.4,90,270,0,3.4,5.9,8.5,11.8,8.5,6,3.4
Amsterdam,Netherlands,52.3676,4.9041,summer,2026-06-21,16.67,05:23,22:02,13:42,61.1,49,311,7.1,6.5,8.3,10,9.2,10,8.3,6.5
Amsterdam,Netherlands,52.3676,4.9041,autumn,2026-09-22,12.15,07:29,19:37,13:33,38,89,271,0,3.5,6,8.6,11.8,8.5,6,3.4
Amsterdam,Netherlands,52.3676,4.9041,winter,2026-12-21,7.55,08:53,16:25,12:39,14.3,130,230,0,0.3,3.7,7,7.5,7,3.7,0.3
Berlin,Germany,52.52,13.405,spring,2026-03-20,12.05,06:14,18:16,12:15,37.3,90,270,0,3.4,5.9,8.5,11.8,8.5,6,3.4
Berlin,Germany,52.52,13.405,summer,2026-06-21,16.7,04:48,21:29,13:08,60.9,49,311,7.1,6.5,8.3,10.1,9.2,10.1,8.3,6.5
Berlin,Germany,52.52,13.405,autumn,2026-09-22,12.15,06:55,19:03,12:59,37.9,89,271,0,3.5,6,8.6,11.8,8.5,6,3.4
Berlin,Germany,52.52,13.405,winter,2026-12-21,7.53,08:19,15:50,12:05,14.1,130,230,0,0.3,3.7,7,7.5,7,3.7,0.3
